VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Median View Count,YouTube Recent Popularity,YouTube Recent Highest View Count,YouTube Recent Highest Viewed Video URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed Video URL
d5c19a6328af48ba88bf41b2dd757f14,11500,378048,461,129,1274,https://www.youtube.com/watch?v=-slEgEcukxM,0,0,0,0,
b165ca888a7d4f61b754ac53ca374f11,11400,616334,854,310,1156,https://www.youtube.com/watch?v=FAhd7vwDEBc,0,0,0,0,
793e165182584e9aaee5dcc331abbb1e,11400,321045,220,111,794,https://www.youtube.com/watch?v=NBL28oQzsq8,0,0,0,0,
2a310e9273014b12a0517d13d25697e1,11300,348250,510,342,1217,https://www.youtube.com/watch?v=z7efuJdQccg,0,0,0,0,
221563b6b46245379c6dc6328c9d0447,11200,759770,0,0,0,,0,0,0,0,
e02e777312df43b986f089339652402e,11200,222181,0,0,0,,0,0,0,0,
f78c2a00a6854a79930a52885181590c,11100,454616,0,0,0,,877,220,151,220,https://www.twitch.tv/videos/1637710259
6559d42f66684b8f80b4cd4589addd85,10900,478878,870,422,2631,https://www.youtube.com/watch?v=rT3AV-mkMFY,2107,238,192,747,https://www.twitch.tv/videos/1644049694
42c4b7c9bf6340029530d3c8f47753ea,10800,224381,555,363,4423,https://www.youtube.com/watch?v=wMlsty_p7oU,0,0,0,0,
9e485b7b44e34693ad25bd04be743dbc,10600,365859,611,85,611,https://www.youtube.com/watch?v=_GcZO2IBJ_0,0,0,0,0,
f2a403cb46354371837550730a397bd1,10400,520521,512,235,1471,https://www.youtube.com/watch?v=_yXcGQHuZvg,0,0,0,0,
05be4fb717614738a87daac46157ddb1,10300,336229,739,427,15781,https://www.youtube.com/watch?v=jptgz3ILSTg,0,0,0,0,
9ca368e73d514656ade48dc946f55956,10200,370845,683,349,1198,https://www.youtube.com/watch?v=JQTD_nsQ32k,0,0,0,0,
3dda133703f64b019d7eea0c5cb55335,10100,390451,0,0,0,,6409,1698,603,3363,https://www.twitch.tv/videos/1644899106
575d15d21f7240e1ad72935bf7fa0465,10100,293347,1646,639,5428,https://www.youtube.com/watch?v=i-t6O7rF3Ug,0,0,0,0,
3cf8b7b95c244f0d9cba700f561c9737,9850,344093,0,0,0,,0,0,0,0,
abc7acc71b474ebebecfde51ad5f88e1,9830,365850,560,272,1193,https://www.youtube.com/watch?v=V0Lc4200LQE,0,0,0,0,
86cb23450c22439e91affb91db6ed326,9770,176237,0,0,0,,0,0,0,0,
090be1be8d29429183e190e22fc4be22,9770,345428,275,149,938,https://www.youtube.com/watch?v=ZWX3jTNE-7o,1826,261,184,435,https://www.twitch.tv/videos/1643151330
549ccdec24884233bd675a2bab77cacf,9580,288729,994,684,1441,https://www.youtube.com/watch?v=9KVgKiYkO0Q,0,0,0,0,
4fc5a770272a43f1bb0a1d12aa3a9b46,9560,440544,486,291,3827,https://www.youtube.com/watch?v=oTSMTG35PsI,0,0,0,0,
ae4eaef845fc4daaa8106a51a590e145,9430,143058,837,393,2146,https://www.youtube.com/watch?v=ur4cEArrrME,0,0,0,0,
cd42e06c40534d9eac7e30a434e47d43,9300,244373,1441,709,8579,https://www.youtube.com/watch?v=ZQEp0TJOl9c,1660,0,0,0,
e7fd5d01e57c42658be2bf1e3ad5d696,9150,187461,1243,589,4875,https://www.youtube.com/watch?v=Rp1e54VDarg,0,0,0,0,
8dd4a8b4598e483e9112b2b1a9466013,9000,2070186,177,118,1875,https://www.youtube.com/watch?v=DSBbV_Wj6M8,132,26,19,45,https://www.twitch.tv/videos/1635862418
c51f84b3ec9c4501a364a6a4982fa284,8980,255863,0,0,0,,1657,787,555,1361,https://www.twitch.tv/videos/1634899447
75d0bd5fa58a4a5fb479e3b2ebae82a7,8860,214677,768,361,1404,https://www.youtube.com/watch?v=ke8myQSjoqQ,0,0,0,0,
3f4650e05ceb41008bd16869780b7af1,8820,771071,1382,635,10387,https://www.youtube.com/watch?v=jkdXLS38GUc,0,0,0,0,
28a930938667442288010b333937e2ab,8800,625608,1447,299,4739,https://www.youtube.com/watch?v=g3Pjb01xZZM,2965,787,587,1391,https://www.twitch.tv/videos/1638513479
c9ece3513c804b3db003cd8fca683857,8660,348586,718,403,1264,https://www.youtube.com/watch?v=oZYsWUfM9co,2141,712,380,895,https://www.twitch.tv/videos/1633794152
b92c6e4c3bea4b938077a8f152f78083,8580,27871,0,0,0,,0,0,0,0,
3197e5649c65405cbbe6e5f1a44cf8e1,8500,255704,1165,485,2613,https://www.youtube.com/watch?v=TTQWj0vfX8w,0,0,0,0,
6a30fc9ee6f24d839198497406c63cc1,8490,792924,198,115,3163,https://www.youtube.com/watch?v=m-t6aJBxxo0,291,37,25,37,https://www.twitch.tv/videos/1637445398
cd88de8b4bc84a71975df9afb42192b8,8460,383160,1413,599,3088,https://www.youtube.com/watch?v=j5I1__MH7Z4,1940,220,173,363,https://www.twitch.tv/videos/1633090584
7298d2db845840d7ab462c7628967f4e,8430,292996,0,0,0,,0,0,0,0,
43864254e678407fae3dc899f7155912,8410,213064,507,250,1548,https://www.youtube.com/watch?v=ED8WiDzonls,0,0,0,0,
fa3bc2669fe041dfaa0765278ffd6330,8360,181030,434,149,1371,https://www.youtube.com/watch?v=zfkFFouwkcY,1508,136,97,271,https://www.twitch.tv/videos/1632953906
390346240f4748bd9d81e472411c20c2,8340,114022,819,372,3237,https://www.youtube.com/watch?v=dGRg1oKHlp0,1524,552,395,693,https://www.twitch.tv/videos/1637598447
ab4f892ca62e4043b6287bdfe50b145d,8280,381695,702,350,5282,https://www.youtube.com/watch?v=LzRgeVGYE_M,1114,308,301,669,https://www.twitch.tv/videos/1644245241
d2c76258b7ff45ee88e3585c4c9ed0c1,8230,173403,456,224,1035,https://www.youtube.com/watch?v=ys0wLNW3ipY,2533,533,423,959,https://www.twitch.tv/videos/1643144558
fe569b0c059e406daf57eb2acd11cc21,8200,176151,451,202,1895,https://www.youtube.com/watch?v=GET1Vxpqosw,0,0,0,0,
31f17632340f4e7fbd0ced07193dd81b,7990,247850,444,229,1042,https://www.youtube.com/watch?v=nhyo9sgE2ME,0,0,0,0,
51cd04cab0de47d4b2b5a156bbe2dfb0,7910,145659,794,31,953,https://www.youtube.com/watch?v=ywUcXZ8-b5I,0,0,0,0,
c0c35f0471774be2b33163ae20f2d6bb,7780,218694,722,308,2089,https://www.youtube.com/watch?v=QnhshVD0fCA,0,0,0,0,
adc9d30b5940427e96ae92238f0f8b83,7740,68866,1364,863,7895,https://www.youtube.com/watch?v=3zFgThI66vM,154,0,0,0,
543ddfe1d70d4a19920f6daa1959b3b4,7720,0,0,0,0,,0,0,0,0,
41a8958a1a4a4cc8b404d04da033400e,7670,284532,296,200,1015,https://www.youtube.com/watch?v=8AZtEaVbEaY,471,0,0,0,
496b5a2dae1a4662806f858e8d40c5ea,7590,213162,422,211,899,https://www.youtube.com/watch?v=UAsvRVCFjBg,0,0,0,0,
3809ec8a42634d11aa1b7b8f99755c6a,7570,403041,0,0,0,,40760,3211,1072,5681,https://www.twitch.tv/videos/1619352723
38391974f5af4fbbb6224e3d6f2f7fb3,7550,1306118,419,309,685,https://www.youtube.com/watch?v=FlgyNW07f3I,5324,1067,829,3369,https://www.twitch.tv/videos/1639389143
00bdfa7c234a47b285152f675d6c650a,7520,1837618,0,0,0,,0,0,0,0,
78195639f2464c75a84f79d46120e28a,7500,158959,584,240,3187,https://www.youtube.com/watch?v=rTTNfc3nyJM,1900,493,338,1022,https://www.twitch.tv/videos/1639517648
b0fa9fc53f99425db4cca93d2d48a91f,7470,184994,329,135,2325,https://www.youtube.com/watch?v=_sdlsRxnsl8,0,0,0,0,
0bfd032de03c48a4bd7d1f4505335a7d,7430,95242,490,255,1064,https://www.youtube.com/watch?v=bkzYLBjtbOA,0,0,0,0,
4b53aa789e544bd9aaecc9fbc79e4bbe,7430,422393,1066,1063,1066,https://www.youtube.com/watch?v=6I4DHy5rd-s,0,0,0,0,
fa5a7cdc259543259af42bb23f1e4041,7410,105310,1214,732,3689,https://www.youtube.com/watch?v=qsHxx70BBAE,0,0,0,0,
e350c8b7e41045419ee1ac73bc78921b,7350,285815,1233,436,3308,https://www.youtube.com/watch?v=HcXKXNQmAag,0,0,0,0,
17c335762a694402b8cb9a96b2865572,7330,309600,968,385,5649,https://www.youtube.com/watch?v=pAJyjBEpQtk,0,0,0,0,
13a520e0a60c4aeea42f1c4d613e7e10,7300,224093,0,0,0,,509,0,0,0,
1c94e6e4d8cf4f8d9195385a9024275a,7030,273844,221,86,387,https://www.youtube.com/watch?v=rJa7fm7Vo9U,337,40,25,41,https://www.twitch.tv/videos/1636776681
2be709cdd22f4a63a95504731ba79afd,7020,132728,530,251,2884,https://www.youtube.com/watch?v=_jkOtnGbM8A,0,0,0,0,
15cbed02d2f74630b04b73515909c1f4,6840,251521,377,123,500,https://www.youtube.com/watch?v=fzJKv1JKLh4,1099,127,87,132,https://www.twitch.tv/videos/1633965929
554ca19c3d924cacac1f680675b9fdd2,6820,129722,0,0,0,,369,72,58,72,https://www.twitch.tv/videos/1641044781
9265e640081f4625bd36cd1235c75bc7,6820,262155,1510,519,5496,https://www.youtube.com/watch?v=MsA02LfpRv0,0,0,0,0,
05e831b267914fc5b4d9b28de1f648dc,6790,158067,1082,336,3365,https://www.youtube.com/watch?v=itSFGOv1G6w,0,0,0,0,
6c872a4043b84e4493877a42af684d1d,6770,111720,656,270,4571,https://www.youtube.com/watch?v=qQfS2UoNFd4,0,0,0,0,
b58761a33d75486f8aa0bf3f5bf07fe5,6530,160256,0,0,0,,1923,0,0,0,
febd22ec0bec4ecdbcd383be8c2694c3,6520,134988,0,0,0,,1055,0,0,0,
7139f41cbcf9443e818c91b9108e3086,6460,14890,0,0,0,,0,0,0,0,
d35707348d554507a98f97eb59230efc,6440,229482,707,228,1989,https://www.youtube.com/watch?v=2yA8dtN73bY,0,0,0,0,
6dc75ab227e34c928598bde8f2d324bf,6370,156205,508,381,1793,https://www.youtube.com/watch?v=AD0-3pblg1o,0,0,0,0,
bb08b8a2a44746499cbe1be1932fa5f9,6370,17959,97,48,267,https://www.youtube.com/watch?v=hq2OCTA9xqU,0,0,0,0,
